h;E(h)
0.5;0.0403287
0.4;0.0259268
0.32;0.016641
0.256;0.0106699
0.2048;0.00683689
0.16384;0.00437891
0.131072;0.00280374
0.104858;0.00179499
0.0838861;0.001149
0.0671089;0.000735283
0.0536871;0.000470579
0.0429497;0.000301123
0.0343597;0.000192761
0.0274878;0.000123501
0.0219902;7.89165e-05
0.0175922;5.06639e-05
0.0140738;3.18289e-05
0.011259;2.07424e-05
0.0090072;1.43647e-05
0.00720576;7.98702e-06
0.00576461;6.73532e-06
0.00461169;5.126e-06
0.00368935;1.54972e-06
0.00295148;9.53674e-07
0.00236118;5.36442e-06
0.00188895;1.72853e-06
0.00151116;1.2517e-06
0.00120893;5.96046e-08
0.000967141;5.96046e-08
0.000773713;1.19209e-07
0.00061897;9.71556e-06
0.000495176;5.24521e-06
0.000396141;1.27554e-05
0.000316913;1.27554e-05
0.00025353;1.01328e-06
0.000202824;9.53674e-07
0.000162259;8.9407e-07
0.000129808;1.06692e-05
0.000103846;1.06096e-05
8.30768e-05;1.06692e-05
6.64615e-05;5.55515e-05
5.31692e-05;4.76837e-07
4.25353e-05;0.000209749
3.40283e-05;0.000184357
2.72226e-05;2.01464e-05
2.17781e-05;0.000430703
1.74225e-05;0.000339091
1.3938e-05;0.00023216
1.11504e-05;0.000499487
8.92031e-06;0.000502825
7.13625e-06;0.00029397
5.709e-06;3.29018e-05
4.5672e-06;0.00127214
3.65376e-06;0.00127214
2.92301e-06;0.00127214
2.33841e-06;0.00127685
1.87072e-06;0.00366646
1.49658e-06;0.00429904
1.19726e-06;0.0030545
9.57811e-07;0.00772178
7.66249e-07;0.00772178
6.12999e-07;0.00443244
4.90399e-07;0.00747108
3.92319e-07;0.01152
3.13856e-07;0.00677228
2.51084e-07;0.000837564
2.00868e-07;0.0527664
1.60694e-07;0.00640142
1.28555e-07;0.00518978
1.02844e-07;0.0341678
8.22754e-08;0.106613
6.58203e-08;0.0745001
5.26562e-08;0.151892
4.2125e-08;0.081144
3.37e-08;0.0957243
2.696e-08;0.125361
2.1568e-08;0.289174
1.72544e-08;0.116451
1.38035e-08;0.0994528
1.10428e-08;0.369333
8.83425e-09;0.706682
7.0674e-09;0.980067
5.65392e-09;0.980067
4.52314e-09;0.980067
3.61851e-09;0.980067
2.89481e-09;0.980067
2.31585e-09;0.980067
1.85268e-09;0.980067
1.48214e-09;0.980067
1.18571e-09;0.980067
9.4857e-10;0.980067
7.58856e-10;0.980067
6.07085e-10;0.980067
4.85668e-10;0.980067
3.88535e-10;0.980067
3.10828e-10;0.980067
2.48662e-10;0.980067
1.9893e-10;0.980067
1.59144e-10;0.980067
1.27315e-10;0.980067
1.01852e-10;0.980067
8.14816e-11;0.980067
6.51853e-11;0.980067
5.21482e-11;0.980067
4.17186e-11;0.980067
3.33749e-11;0.980067
2.66999e-11;0.980067
2.13599e-11;0.980067
1.70879e-11;0.980067
1.36703e-11;0.980067
1.09363e-11;0.980067
8.74902e-12;0.980067
6.99922e-12;0.980067
5.59937e-12;0.980067
4.4795e-12;0.980067
3.5836e-12;0.980067
2.86688e-12;0.980067
2.2935e-12;0.980067
1.8348e-12;0.980067
1.46784e-12;0.980067
1.17427e-12;0.980067
9.39419e-13;0.980067
7.51535e-13;0.980067
6.01228e-13;0.980067
4.80983e-13;0.980067
3.84786e-13;0.980067
3.07829e-13;0.980067
2.46263e-13;0.980067
1.9701e-13;0.980067
1.57608e-13;0.980067
1.26087e-13;0.980067
1.00869e-13;0.980067
8.06955e-14;0.980067
6.45564e-14;0.980067
5.16451e-14;0.980067
4.13161e-14;0.980067
3.30529e-14;0.980067
2.64423e-14;0.980067
2.11538e-14;0.980067
1.69231e-14;0.980067
1.35385e-14;0.980067
1.08308e-14;0.980067
8.66462e-15;0.980067
6.93169e-15;0.980067
5.54535e-15;0.980067
4.43628e-15;0.980067
3.54903e-15;0.980067
2.83922e-15;0.980067
2.27138e-15;0.980067
1.8171e-15;0.980067
1.45368e-15;0.980067
1.16295e-15;0.980067
9.30356e-16;0.980067
7.44285e-16;0.980067
5.95428e-16;0.980067
4.76342e-16;0.980067
3.81074e-16;0.980067
3.04859e-16;0.980067
2.43887e-16;0.980067
1.9511e-16;0.980067
1.56088e-16;0.980067
1.2487e-16;0.980067
9.98963e-17;0.980067
7.9917e-17;0.980067
6.39336e-17;0.980067
5.11469e-17;0.980067
4.09175e-17;0.980067
3.2734e-17;0.980067
2.61872e-17;0.980067
2.09498e-17;0.980067
1.67598e-17;0.980067
1.34079e-17;0.980067
1.07263e-17;0.980067
8.58103e-18;0.980067
6.86482e-18;0.980067
5.49186e-18;0.980067
4.39349e-18;0.980067
3.51479e-18;0.980067
2.81183e-18;0.980067
2.24946e-18;0.980067
1.79957e-18;0.980067
1.43966e-18;0.980067
1.15173e-18;0.980067
9.21381e-19;0.980067
7.37105e-19;0.980067
5.89684e-19;0.980067
4.71747e-19;0.980067
3.77398e-19;0.980067
3.01918e-19;0.980067
2.41534e-19;0.980067
1.93228e-19;0.980067
1.54582e-19;0.980067
1.23666e-19;0.980067
9.89325e-20;0.980067
7.9146e-20;0.980067
6.33168e-20;0.980067
5.06535e-20;0.980067
4.05228e-20;0.980067
3.24182e-20;0.980067
2.59346e-20;0.980067
2.07477e-20;0.980067
1.65981e-20;0.980067
1.32785e-20;0.980067
1.06228e-20;0.980067
